# Degrees, CalciumE, ngtcut, nltcut
0.0 118.129631053 314685 0
15.0 120.934709611 314685 0
30.0 125.13537496 314685 0
45.0 130.794871616 314685 0
60.0 137.951550208 314685 0
75.0 146.560012962 314685 0
90.0 156.400891625 314685 0
105.0 166.961224964 314519 166
120.0 177.296444654 314216 469
135.0 185.924985143 314248 437
150.0 191.005552465 313769 916
165.0 191.151016792 313814 871
180.0 186.326665395 314113 572
195.0 177.73237774 314200 485
210.0 167.081115866 314346 339
225.0 156.024242212 314623 62
240.0 145.761387031 314669 16
255.0 136.930638573 314677 8
270.0 129.749802501 314677 8
285.0 124.212259114 314685 0
300.0 120.225865746 314685 0
315.0 117.687351885 314685 0
330.0 116.515900384 314685 0
345.0 116.665875876 314685 0
360.0 118.129631053 314685 0
