# Degrees, CalciumE, ngtcut, nltcut
0.0 118.129631053 316344 0
15.0 124.01505435 316344 0
30.0 132.293027068 316344 0
45.0 143.532574821 316344 0
60.0 158.519926941 316344 0
75.0 178.259213294 316328 16
90.0 203.833536307 316164 180
105.0 235.777847337 315675 669
120.0 270.661729815 315403 941
135.0 289.318638939 315593 751
150.0 273.451770353 315538 806
165.0 242.764758769 315616 728
180.0 212.203341147 315915 429
195.0 185.840614813 315944 400
210.0 164.684623227 316045 299
225.0 148.329477649 316238 106
240.0 135.932944953 316317 27
255.0 126.701297178 316326 18
270.0 120.019476161 316344 0
285.0 115.450523779 316344 0
300.0 112.705744629 316344 0
315.0 111.617273827 316344 0
330.0 112.120500805 316344 0
345.0 114.247247207 316344 0
360.0 118.129631053 316344 0
