# Degrees, CalciumE, ngtcut, nltcut
0.0 118.129631053 226443 0
10.0 119.164715797 226443 0
20.0 120.824097785 226401 42
30.0 123.120522481 226322 121
40.0 126.070657439 226170 273
50.0 129.691460849 226050 393
60.0 133.994759255 225940 503
70.0 138.979500035 225859 584
80.0 144.621450307 225951 492
90.0 150.860960137 225981 462
100.0 157.5909113 225880 563
110.0 164.648611593 225843 600
120.0 171.815370533 225729 714
130.0 178.823204697 225706 737
140.0 185.359732557 225828 615
150.0 191.058279208 225916 527
160.0 195.475700972 225990 453
170.0 198.097715714 226177 266
180.0 198.432020866 226342 101
190.0 196.192591519 226408 35
200.0 191.46791567 226409 34
210.0 184.741274613 226426 17
220.0 176.743229076 226404 39
230.0 168.235232354 226435 8
240.0 159.842051637 226443 0
250.0 151.985879383 226443 0
260.0 144.902302332 226388 55
270.0 138.691453099 226305 138
280.0 133.370053078 226127 316
290.0 128.910621571 226021 422
300.0 125.266769462 226088 355
310.0 122.387958803 226271 172
320.0 120.227444765 226373 70
330.0 118.746181105 226427 16
340.0 117.914471143 226443 0
350.0 117.712404341 226443 0
360.0 118.129631053 226443 0
